mesh,genus,resolution,method,metric,error
1018276_sf,3.0,50,mc,chf,0.01056382682745851
1018276_sf,3.0,50,mc,hd,0.026721825967986255
1018276_sf,3.0,50,mc,sdf,0.06342332250898337
1018276_sf,3.0,50,ndc,chf,0.012146255550519623
1018276_sf,3.0,50,ndc,hd,0.024937184450401505
1018276_sf,3.0,50,ndc,sdf,0.014828169705791266
1018276_sf,3.0,50,rfts,chf,0.028784861092125913
1018276_sf,3.0,50,rfts,hd,0.08722003848795273
1018276_sf,3.0,50,rfts,sdf,0.07046192877933527
1018276_sf,3.0,50,rfta,chf,0.004681094771918049
1018276_sf,3.0,50,rfta,hd,0.025012503653965484
1018276_sf,3.0,50,rfta,sdf,0.0012355905415921823
1018276_sf,3.0,60,mc,chf,0.007975610726960425
1018276_sf,3.0,60,mc,hd,0.027920359962999422
1018276_sf,3.0,60,mc,sdf,0.0318676329740737
1018276_sf,3.0,60,ndc,chf,0.0075230881890812375
1018276_sf,3.0,60,ndc,hd,0.023118839018472545
1018276_sf,3.0,60,ndc,sdf,0.010663914871799532
1018276_sf,3.0,60,rfts,chf,0.019183119700193874
1018276_sf,3.0,60,rfts,hd,0.05475166304738471
1018276_sf,3.0,60,rfts,sdf,0.024578972087694925
1018276_sf,3.0,60,rfta,chf,0.004237237038026391
1018276_sf,3.0,60,rfta,hd,0.024026595263442356
1018276_sf,3.0,60,rfta,sdf,0.0011107904259111943
1018276_sf,3.0,80,mc,chf,0.004831103864284595
1018276_sf,3.0,80,mc,hd,0.016924158267235312
1018276_sf,3.0,80,mc,sdf,0.014645302921972784
1018276_sf,3.0,80,ndc,chf,0.002792944330648319
1018276_sf,3.0,80,ndc,hd,0.015054638897938547
1018276_sf,3.0,80,ndc,sdf,0.0037422672501347017
1018276_sf,3.0,80,rfts,chf,0.008489028696541404
1018276_sf,3.0,80,rfts,hd,0.024030631852760366
1018276_sf,3.0,80,rfts,sdf,0.0056069651174272695
1018276_sf,3.0,80,rfta,chf,0.0040163755951271845
1018276_sf,3.0,80,rfta,hd,0.023297818709293996
1018276_sf,3.0,80,rfta,sdf,0.0008630077304730413
1018276_sf,3.0,100,mc,chf,0.003313666240492117
1018276_sf,3.0,100,mc,hd,0.012901225460423786
1018276_sf,3.0,100,mc,sdf,0.008824662640087225
1018276_sf,3.0,100,ndc,chf,0.0019426679260023273
1018276_sf,3.0,100,ndc,hd,0.009638702393246708
1018276_sf,3.0,100,ndc,sdf,0.0015755881933683605
1018276_sf,3.0,100,rfts,chf,0.003982243539099866
1018276_sf,3.0,100,rfts,hd,0.01636819777812011
1018276_sf,3.0,100,rfts,sdf,0.001566554683949477
1018276_sf,3.0,100,rfta,chf,0.004058126517552799
1018276_sf,3.0,100,rfta,hd,0.02480844573348438
1018276_sf,3.0,100,rfta,sdf,0.000758847680956904
1021166_sf,0.0,6,mc,chf,0.3473655621111926
1021166_sf,0.0,6,mc,hd,0.6487505381457862
1021166_sf,0.0,6,mc,sdf,110.89057217686032
1021166_sf,0.0,6,ndc,chf,0.33840028417705537
1021166_sf,0.0,6,ndc,hd,0.8740381519780004
1021166_sf,0.0,6,ndc,sdf,70.53121659720938
1021166_sf,0.0,6,rfts,chf,0.12305166176726377
1021166_sf,0.0,6,rfts,hd,0.25649542268684633
1021166_sf,0.0,6,rfts,sdf,0.08770577305973042
